conf,body,max_neurotransmitter,max_nt_value,gt_neurotransmitter,bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
0.991,759810119,serotonin,0.9916270971298218,serotonin,759810119,1640909284,AL(R),AL(R),20694,35649,31366,20707,35642,31373,0.991,0.985372
0.959,759810119,serotonin,0.9997478127479553,serotonin,759810119,1794055377,AL(R),AL(R),19803,29591,31390,19812,29590,31377,0.959,0.962679
0.959,759810119,serotonin,0.9997478127479553,serotonin,759810119,1639886198,AL(R),AL(R),19803,29591,31390,19817,29584,31392,0.959,0.983467
0.961,759810119,serotonin,0.9999980926513672,serotonin,759810119,5813024698,AL(R),AL(R),20391,28811,31418,20391,28819,31404,0.961,0.991435
0.962,759810119,serotonin,0.9999755620956421,serotonin,759810119,5813034493,AL(R),AL(R),17086,33937,31445,17077,33933,31439,0.962,0.982942
0.962,759810119,serotonin,0.9999755620956421,serotonin,759810119,5813024698,AL(R),AL(R),17086,33937,31445,17086,33932,31429,0.962,0.968933
0.986,759810119,serotonin,0.9997534155845642,serotonin,759810119,5813024698,AL(R),AL(R),21170,32879,31526,21186,32874,31531,0.986,0.999982
0.958,759810119,serotonin,0.9999992847442627,serotonin,759810119,5901206553,AL(R),AL(R),19338,32793,31583,19338,32806,31582,0.958,0.988893
0.958,759810119,serotonin,0.9999992847442627,serotonin,759810119,5813024698,AL(R),AL(R),19338,32793,31583,19351,32799,31582,0.958,0.972596
0.985,759810119,serotonin,0.999948263168335,serotonin,759810119,5813018460,AL(R),AL(R),19708,32477,31590,19708,32473,31571,0.985,0.981165
0.985,759810119,serotonin,0.999948263168335,serotonin,759810119,1640909284,AL(R),AL(R),19708,32477,31590,19716,32493,31593,0.985,0.981443
0.957,759810119,serotonin,0.9976478219032288,serotonin,759810119,5813034493,AL(R),AL(R),19298,28458,31600,19290,28467,31610,0.957,0.970444
0.957,759810119,serotonin,0.9976478219032288,serotonin,759810119,1704347707,AL(R),AL(R),19298,28458,31600,19287,28461,31586,0.957,0.960267
0.962,669325882,serotonin,0.9971844553947449,serotonin,669325882,2028718812,IPS(R),IPS(R),20845,10782,31605,20839,10787,31612,0.962,0.992866
0.962,669325882,serotonin,0.9971844553947449,serotonin,669325882,1812485095,IPS(R),IPS(R),20845,10782,31605,20838,10801,31612,0.962,0.985778
0.991,759810119,serotonin,0.9999719858169556,serotonin,759810119,1640909284,AL(R),AL(R),20960,34303,31621,20950,34299,31611,0.991,0.95156
0.965,759810119,serotonin,0.9970280528068542,serotonin,759810119,1916485259,AL(R),AL(R),19505,33489,31663,19529,33507,31658,0.965,0.971354
0.965,759810119,serotonin,0.9970280528068542,serotonin,759810119,1885765762,AL(R),AL(R),19505,33489,31663,19505,33494,31674,0.965,0.979201
