neuron_class,conf,body,max_neurotransmitter,max_nt_value,gt_neurotransmitter,bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
neuron6,0.99,1224258912,dopamine,0.5092763304710388,dopamine,1224258912,1224945418,,,30137,24592,22719,30128,24594,22708,0.99,0.999842
neuron6,0.966,1224258912,dopamine,0.6916570663452148,dopamine,1224258912,606362007,FB,FB,22350,22028,21683,22358,22020,21676,0.966,0.999708
neuron6,0.977,1224258912,dopamine,0.8461410999298096,dopamine,1224258912,1194246820,FB,FB,26967,21327,20565,26956,21329,20572,0.977,0.976117
neuron6,0.994,1224258912,dopamine,0.900709867477417,dopamine,1224258912,1128092885,FB,FB,29480,20488,21524,29490,20498,21523,0.994,0.975138
neuron6,0.976,1224258912,dopamine,0.6912789940834045,dopamine,1224258912,729824475,FB,FB,28536,21702,21493,28531,21712,21493,0.976,0.95475
neuron6,0.996,1224258912,dopamine,0.6299991607666016,dopamine,1224258912,1289026707,FB,FB,23478,18623,20303,23498,18619,20299,0.996,0.981971
neuron6,0.973,1224258912,dopamine,0.8367481827735901,dopamine,1224258912,453765256,FB,FB,26779,18116,18941,26768,18105,18948,0.973,0.956589
neuron6,0.98,1224258912,dopamine,0.8337146043777466,dopamine,1224258912,981362334,FB,FB,21003,23115,22483,21004,23126,22485,0.98,0.956175
neuron6,0.98,1224258912,dopamine,0.4694158136844635,dopamine,1224258912,766864238,FB,FB,26542,18038,19283,26542,18047,19271,0.98,0.980285
neuron6,0.994,1224258912,dopamine,0.7023910880088806,dopamine,1224258912,1132163803,FB,FB,24421,19627,19326,24408,19638,19318,0.994,0.989125
neuron7,0.967,5813020684,dopamine,0.6763690114021301,dopamine,5813020684,978716112,FB,FB,30111,22436,15193,30105,22448,15196,0.967,0.985725
neuron7,0.975,5813020684,dopamine,0.6732640266418457,dopamine,5813020684,1036637638,FB,FB,30452,24662,17889,30430,24672,17884,0.975,0.977054
neuron7,0.964,5813020684,dopamine,0.8431938290596008,dopamine,5813020684,915960391,FB,FB,24363,20961,14213,24360,20972,14200,0.964,0.998207
neuron7,0.975,5813020684,dopamine,0.5115751028060913,dopamine,5813020684,979066072,FB,FB,30680,22264,16263,30694,22251,16260,0.975,0.972818
neuron7,0.978,5813020684,dopamine,0.9152078032493591,dopamine,5813020684,1040402220,FB,FB,30132,23120,15997,30131,23124,16006,0.978,0.999336
neuron7,0.971,5813020684,dopamine,0.6117076277732849,dopamine,5813020684,329289084,FB,FB,22545,22387,15698,22537,22387,15706,0.971,0.951456
neuron7,0.957,5813020684,dopamine,0.6617002487182617,dopamine,5813020684,946990515,FB,FB,32026,23097,17110,32020,23100,17120,0.957,0.990661
neuron7,0.955,5813020684,dopamine,0.7179313898086548,dopamine,5813020684,5813061177,FB,FB,27695,22527,15601,27707,22537,15601,0.955,0.985556
neuron7,0.974,5813020684,dopamine,0.830428957939148,dopamine,5813020684,360310976,SIP(R),SIP(R),18588,26738,7538,18586,26740,7548,0.974,0.999714
neuron7,0.983,5813020684,dopamine,0.5766279697418213,dopamine,5813020684,916305683,FB,FB,24494,22184,15262,24494,22199,15254,0.983,0.975204
neuron7,0.973,5813020684,dopamine,0.5419038534164429,dopamine,5813020684,915964590,FB,FB,23145,23068,16069,23132,23069,16070,0.973,0.995605
neuron7,0.987,5813020684,dopamine,0.517716646194458,dopamine,5813020684,329289084,FB,FB,31607,24086,18352,31610,24101,18347,0.987,0.974221
neuron7,0.951,5813020684,dopamine,0.6789208054542542,dopamine,5813020684,915610256,FB,FB,24137,20527,13918,24135,20532,13925,0.951,0.999829
neuron7,0.959,5813020684,dopamine,0.7720186710357666,dopamine,5813020684,946308203,FB,FB,20448,24844,18429,20435,24837,18428,0.959,0.954971
neuron7,0.995,5813020684,dopamine,0.5603228807449341,dopamine,5813020684,946990515,FB,FB,31377,23454,16986,31381,23440,16988,0.995,0.998473
neuron8,0.976,1289359184,dopamine,0.8837626576423645,dopamine,1289359184,1164545788,FB,FB,21381,21846,20225,21371,21851,20225,0.976,0.983248
neuron8,0.969,1289359184,dopamine,0.7938746809959412,dopamine,1289359184,818796911,FB,FB,27708,19732,18169,27708,19743,18163,0.969,0.998006
neuron8,0.989,1289359184,dopamine,0.5007556080818176,dopamine,1289359184,755950242,FB,FB,23365,22136,20557,23377,22127,20546,0.989,0.996617
neuron8,0.974,1289359184,dopamine,0.5893709659576416,dopamine,1289359184,1382218098,FB,FB,30881,20857,19868,30869,20860,19867,0.974,0.996267
neuron8,0.981,1289359184,dopamine,0.8678315281867981,dopamine,1289359184,1101133698,FB,FB,23045,20304,18523,23029,20312,18516,0.981,0.953868
neuron8,0.952,1289359184,dopamine,0.5297440886497498,dopamine,1289359184,673746277,FB,FB,31102,22603,21668,31086,22590,21686,0.952,0.992646
neuron8,0.955,1289359184,dopamine,0.3814983367919922,dopamine,1289359184,976190756,,,15747,26136,17246,15726,26125,17240,0.955,0.960319
neuron8,0.976,1289359184,dopamine,0.5005804300308228,dopamine,1289359184,5813061722,FB,FB,26030,21681,18526,26036,21669,18520,0.976,0.978878
neuron8,0.952,1289359184,dopamine,0.5819809436798096,dopamine,1289359184,724267537,FB,FB,27349,20264,19347,27348,20263,19332,0.952,0.972515
neuron8,0.989,1289359184,dopamine,0.3955092430114746,dopamine,1289359184,858030363,FB,FB,30825,23956,21002,30836,23965,21000,0.989,0.998421
neuron8,0.964,1289359184,dopamine,0.48964443802833557,dopamine,1289359184,1101794211,FB,FB,23148,19130,18776,23146,19133,18784,0.964,0.954964
neuron8,0.984,1289359184,dopamine,0.4770410358905792,dopamine,1289359184,1350837738,FB,FB,31854,21389,19703,31850,21376,19694,0.984,0.972438
neuron8,0.977,1289359184,dopamine,0.5639305710792542,dopamine,1289359184,1100797044,FB,FB,20329,24437,22918,20341,24434,22921,0.977,0.958223
neuron8,0.976,1289359184,dopamine,0.5420950651168823,dopamine,1289359184,519046655,FB,FB,21494,21630,21201,21494,21632,21188,0.976,0.999211
neuron8,0.994,1289359184,dopamine,0.7607681751251221,dopamine,1289359184,1249098351,FB,FB,21850,18954,19167,21838,18958,19168,0.994,0.999384
neuron9,0.968,328533761,dopamine,0.9139138460159302,dopamine,328533761,517445395,SLP(R),SLP(R),10413,28021,11491,10417,28032,11493,0.968,0.998535
neuron9,0.987,328533761,dopamine,0.7168845534324646,dopamine,328533761,486850582,LH(R),LH(R),7760,18383,10129,7759,18377,10116,0.987,0.99811
neuron9,0.99,328533761,dopamine,0.6846576929092407,dopamine,328533761,787227302,SLP(R),SLP(R),9752,15726,12478,9738,15727,12475,0.99,0.98322
neuron9,0.997,328533761,dopamine,0.5711439251899719,dopamine,328533761,358874595,SLP(R),SLP(R),8584,26854,7189,8582,26866,7186,0.997,0.953417
neuron9,0.997,328533761,dopamine,0.6686568856239319,dopamine,328533761,452651486,SLP(R),SLP(R),10233,27477,9794,10245,27472,9796,0.997,0.997742
neuron9,0.973,328533761,dopamine,0.8281226754188538,dopamine,328533761,828597380,SIP(R),SIP(R),17479,28092,12804,17493,28083,12807,0.973,0.981822
neuron9,0.987,328533761,dopamine,0.7895935773849487,dopamine,328533761,5813071348,CA(R),CA(R),13449,13302,10750,13427,13287,10747,0.987,0.996747
neuron9,0.983,328533761,dopamine,0.9732868075370789,dopamine,328533761,515096130,SLP(R),SLP(R),12122,24562,8311,12125,24547,8312,0.983,0.973576
neuron9,0.951,328533761,dopamine,0.7201592326164246,dopamine,328533761,1670265016,SCL(R),SCL(R),9937,14978,14034,9937,14987,14042,0.951,0.984206
neuron9,0.988,328533761,dopamine,0.9955539107322693,dopamine,328533761,5813087454,SLP(R),SLP(R),15267,22030,9092,15262,22030,9098,0.988,0.99929
neuron9,0.975,328533761,dopamine,0.5212610960006714,dopamine,328533761,453031248,LH(R),LH(R),7885,18299,10314,7887,18296,10334,0.975,0.976543
neuron9,0.994,328533761,dopamine,0.9186246991157532,dopamine,328533761,389929872,SLP(R),SLP(R),12870,27370,8900,12857,27368,8886,0.994,0.991348
neuron9,0.952,328533761,dopamine,0.8119106292724609,dopamine,328533761,357160116,SLP(R),SLP(R),10084,24378,7020,10076,24376,7021,0.952,0.992823
neuron9,0.955,328533761,dopamine,0.5587518215179443,dopamine,328533761,480586157,SCL(R),SCL(R),9836,16925,14617,9838,16925,14607,0.955,0.956342
neuron9,0.99,328533761,dopamine,0.9720407724380493,dopamine,328533761,5813009989,SLP(R),SLP(R),13479,25936,8522,13482,25945,8524,0.99,0.999738
neuron10,0.965,792040520,dopamine,0.3425711989402771,dopamine,792040520,822708945,PLP(R),PLP(R),12920,18997,19066,12929,18999,19055,0.965,0.957832
neuron10,0.992,792040520,dopamine,0.6704556941986084,dopamine,792040520,796733478,AVLP(R),AVLP(R),11138,23054,18302,11148,23050,18305,0.992,0.999832
neuron10,0.991,792040520,dopamine,0.5687178373336792,dopamine,792040520,1038956078,PLP(R),PLP(R),12681,15314,19798,12677,15318,19805,0.991,0.99527
neuron10,0.991,792040520,dopamine,0.7925276756286621,dopamine,792040520,549175510,SCL(R),SCL(R),11642,25475,16752,11626,25483,16743,0.991,0.992142
neuron10,0.985,792040520,dopamine,0.7913835644721985,dopamine,792040520,5813027276,PVLP(R),PVLP(R),8960,22340,21086,8960,22333,21073,0.985,0.952684
neuron10,0.992,792040520,dopamine,0.8782010674476624,dopamine,792040520,1099964617,SPS(R),SPS(R),15865,15926,21427,15872,15915,21429,0.992,0.997147
neuron10,0.965,792040520,dopamine,0.7222761511802673,dopamine,792040520,885168486,SCL(R),SCL(R),12552,25290,17081,12562,25289,17071,0.965,0.999472
neuron10,0.997,792040520,dopamine,0.8811599016189575,dopamine,792040520,483708083,SCL(R),SCL(R),11626,21228,15445,11650,21213,15418,0.997,0.957227
neuron10,0.993,792040520,dopamine,0.9464226961135864,dopamine,792040520,765050884,PVLP(R),PVLP(R),11057,22669,22482,11052,22651,22477,0.993,0.98624
neuron10,0.981,792040520,dopamine,0.743711531162262,dopamine,792040520,796754549,SCL(R),SCL(R),11851,25289,17059,11847,25298,17046,0.981,0.964063
neuron10,0.997,792040520,dopamine,0.4661737382411957,dopamine,792040520,478591447,PLP(R),PLP(R),12346,19645,18546,12346,19633,18544,0.997,0.9967
neuron10,0.973,792040520,dopamine,0.9758634567260742,dopamine,792040520,5813020846,SCL(R),SCL(R),9346,18453,14730,9352,18470,14717,0.973,0.989753
neuron10,0.962,792040520,dopamine,0.9422995448112488,dopamine,792040520,5813075024,AVLP(R),AVLP(R),9916,23506,15004,9917,23519,15000,0.962,0.98319
neuron10,0.995,792040520,dopamine,0.9863935112953186,dopamine,792040520,821340054,SCL(R),SCL(R),11389,20971,15654,11396,20979,15660,0.995,0.977371
neuron10,0.979,792040520,dopamine,0.6507409811019897,dopamine,792040520,5813021109,LAL(R),LAL(R),17401,24550,30858,17393,24546,30858,0.979,0.999558
neuron11,0.956,1224941044,dopamine,0.7634917497634888,dopamine,1224941044,732034061,FB,FB,27243,18144,18782,27231,18137,18784,0.956,0.981129
neuron11,0.969,1224941044,dopamine,0.8408216238021851,dopamine,1224941044,1065751225,FB,FB,28171,21195,21186,28182,21196,21176,0.969,0.995306
